imdbId,ordering,actor_name,category,characters
417,1,Georges Méliès,actor,Prof. Barbenfouillis|The Moon
417,2,Victor André,actor,Astronomer - Nostradamus
417,3,Bleuette Bernon,actress,Lady in the Moon
417,4,Brunnet,actor,Astronomer- Alcofrisbas
439,1,Gilbert M. 'Broncho Billy' Anderson,actor,Bandit|Shot Passenger|Tenderfoot Dancer
439,2,A.C. Abadie,actor,Sheriff
439,3,George Barnes,actor,
439,4,Justus D. Barnes,actor,Bandit Who Fires at Camera
439,8,Walter Cameron,actor,Sheriff
439,9,John Manus Dougherty Sr.,actor,Fourth Bandit
439,10,Donald Gallaher,actor,Little Boy
516,1,Segundo de Chomón,actor,Bertrand
516,2,Julienne Mathieu,actress,Laure
4972,1,Lillian Gish,actress,Elsie - Stoneman's Daughter
4972,2,Mae Marsh,actress,Flora Cameron - The Pet Sister
4972,3,Henry B. Walthall,actor,Col. Ben Cameron aka The Little Colonel
4972,4,Miriam Cooper,actress,Margaret Cameron - The Elder Sister
6333,1,Allen Holubar,actor,Capt. Nemo
6333,2,Dan Hanlon,actor,Prof. Aronnax
6333,3,Edna Pendleton,actress,Aronnax's Daughter
6333,4,Curtis Benton,actor,Ned Land
6864,1,Lillian Gish,actress,The Woman Who Rocks the Cradle|Eternal Mother
6864,2,Robert Harron,actor,The Boy
6864,3,Mae Marsh,actress,The Dear One
6864,4,F.A. Turner,actor,The Dear One's Father
7264,1,Charles Chaplin,actor,A Waiter - Posing as Sir Cecil Seltzer
7264,2,Edna Purviance,actress,The Girl
7264,3,James T. Kelley,actor,Her Father
7264,4,Eric Campbell,actor,Mr. Stout
7264,8,Henry Bergman,actor,Mrs. Stout
7264,9,Albert Austin,actor,Cook
7264,10,Leota Bryan,actress,Edna's Friend
7361,1,Dorothy Cumming,actress,Queen Brangomar
7361,2,Creighton Hale,actor,Prince Florimond
7361,3,Lionel Braham,actor,Berthold - the Huntsman
7361,4,Alice Washburn,actress,Witch Hex
8133,1,Charles Chaplin,actor,Immigrant
8133,2,Edna Purviance,actress,Immigrant
8133,3,Eric Campbell,actor,Head Waiter
8133,4,Albert Austin,actor,Russian|Restaurant diner
10040,1,Mary Pickford,actress,Judy Abbott
10040,2,Milla Davenport,actress,Mrs. Lippett
10040,3,Percy Haswell,actress,Miss Pritchard
10040,4,Fay Lemport,actress,Angelina
10040,9,Mahlon Hamilton,actor,Jarvis Pendleton
10040,10,Lillian Langdon,actress,Mrs. Pendleton
10323,1,Werner Krauss,actor,Dr. Caligari
10323,2,Conrad Veidt,actor,Cesare
10323,3,Friedrich Feher,actor,Franzis
10323,4,Lil Dagover,actress,Jane Olsen
11541,1,Buster Keaton,actor,The Groom
11541,2,Sybil Seely,actress,The Bride
11541,3,Joe Roberts,actor,Piano Mover
12349,1,Charles Chaplin,actor,A Tramp
12349,2,Edna Purviance,actress,The Woman
12349,3,Jackie Coogan,actor,The Child
12349,4,Carl Miller,actor,The Man
12349,5,Albert Austin,actor,Car Thief|Man in Shelter
12349,6,Beulah Bains,actress,Bride
12349,7,Nellie Bly Baker,actress,Slum Nurse
12349,8,Henry Bergman,actor,Professor Guido|Night Shelter Keeper
12349,9,Edward Biby,actor,Orphan Asylum Driver
12349,10,B.F. Blinn,actor,His Assistant
13442,1,Max Schreck,actor,Graf Orlok
13442,2,Alexander Granach,actor,Knock - ein Häusermakler
13442,3,Gustav von Wangenheim,actor,Hutter
13442,4,Greta Schröder,actress,Ellen - seine Frau
14142,1,Lon Chaney,actor,Quasimodo
14142,2,Patsy Ruth Miller,actress,Esmeralda
14142,3,Norman Kerry,actor,Phoebus de Chateaupers
14142,4,Kate Lester,actress,Madame de Condelaurier
