imdbId,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes
114709,movie,Toy Story,Toy Story,1995,81
113497,movie,Jumanji,Jumanji,1995,104
113228,movie,Grumpier Old Men,Grumpier Old Men,1995,101
114885,movie,Waiting to Exhale,Waiting to Exhale,1995,124
113041,movie,Father of the Bride Part II,Father of the Bride Part II,1995,106
113277,movie,Heat,Heat,1995,170
114319,movie,Sabrina,Sabrina,1995,127
112302,movie,Tom and Huck,Tom and Huck,1995,97
114576,movie,Sudden Death,Sudden Death,1995,111
113189,movie,GoldenEye,GoldenEye,1995,130
112346,movie,The American President,The American President,1995,114
112896,movie,Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995,88
112453,movie,Balto,Balto,1995,78
113987,movie,Nixon,Nixon,1995,192
112760,movie,Cutthroat Island,Cutthroat Island,1995,124
112641,movie,Casino,Casino,1995,178
114388,movie,Sense and Sensibility,Sense and Sensibility,1995,136
113101,movie,Four Rooms,Four Rooms,1995,98
112281,movie,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995,90
113845,movie,Money Train,Money Train,1995,110
113161,movie,Get Shorty,Get Shorty,1995,105
112722,movie,Copycat,Copycat,1995,123
112401,movie,Assassins,Assassins,1995,133
114168,movie,Powder,Powder,1995,111
113627,movie,Leaving Las Vegas,Leaving Las Vegas,1995,111
114057,movie,Othello,Othello,1995,123
114011,movie,Now and Then,Now and Then,1995,102
114117,tvEpisode,Persuasion,Persuasion,1995,107
112682,movie,The City of Lost Children,La cité des enfants perdus,1995,112
115012,movie,Shanghai Triad,"Yao a yao, yao dao wai po qiao",1995,108
112792,movie,Dangerous Minds,Dangerous Minds,1995,99
114746,movie,12 Monkeys,Twelve Monkeys,1995,129
112431,movie,Babe,Babe,1995,91
112818,movie,Dead Man Walking,Dead Man Walking,1995,122
113442,movie,It Takes Two,It Takes Two,1995,101
112697,movie,Clueless,Clueless,1995,97
112749,movie,"Cry, the Beloved Country","Cry, the Beloved Country",1995,106
114279,movie,Richard III,Richard III,1995,110
112819,movie,Dead Presidents,Dead Presidents,1995,119
114272,movie,Restoration,Restoration,1995,117
113855,movie,Mortal Kombat,Mortal Kombat,1995,101
114681,movie,To Die For,To Die For,1995,106
113347,movie,How to Make an American Quilt,How to Make an American Quilt,1995,117
114369,movie,Se7en,Se7en,1995,127
114148,movie,Pocahontas,Pocahontas,1995,81
114916,movie,When Night Is Falling,When Night Is Falling,1995,94
114814,movie,The Usual Suspects,The Usual Suspects,1995,106
113819,movie,Mighty Aphrodite,Mighty Aphrodite,1995,95
110299,movie,Lamerica,Lamerica,1994,116
112499,movie,The Big Green,The Big Green,1995,100
113158,movie,Georgia,Georgia,1995,115
113321,movie,Home for the Holidays,Home for the Holidays,1995,103
110877,movie,The Postman,Il postino,1994,108
113419,movie,The Indian in the Cupboard,The Indian in the Cupboard,1995,96
116260,movie,Eye for an Eye,Eye for an Eye,1996,101
113862,movie,Mr. Holland's Opus,Mr. Holland's Opus,1995,143
116126,movie,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89
118002,movie,Two If by Sea,Two If by Sea,1996,96
115683,movie,Bio-Dome,Bio-Dome,1996,88
116839,movie,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,1996,93
113149,movie,French Twist,Gazon maudit,1995,104
113118,movie,Friday,Friday,1995,91
116367,movie,From Dusk Till Dawn,From Dusk Till Dawn,1996,108
113010,movie,Fair Game,Fair Game,1995,91
113537,movie,Kicking and Screaming,Kicking and Screaming,1995,96
113828,movie,Les Misérables,Les misérables,1995,175
115644,movie,Bed of Roses,Bed of Roses,1996,87
115676,movie,Big Bully,Big Bully,1996,90
114367,movie,Screamers,Screamers,1995,108
113973,movie,Nico Icon,Nico Icon,1995,70
112744,movie,The Crossing Guard,The Crossing Guard,1995,111
116731,movie,The Juror,The Juror,1996,118
112445,movie,The White Balloon,Badkonake sefid,1995,85
114660,movie,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,1995,115
112379,movie,Antonia's Line,Antonia,1995,102
114039,movie,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored,1995,115
112365,movie,Angels and Insects,Angels and Insects,1995,116
118158,movie,White Squall,White Squall,1996,129
116151,movie,Dunston Checks In,Dunston Checks In,1996,88
115697,movie,Black Sheep,Black Sheep,1996,87
113972,movie,Nick of Time,Nick of Time,1995,90
117002,movie,Mary Reilly,Mary Reilly,1996,108
114825,movie,Vampire in Brooklyn,Vampire in Brooklyn,1995,100
115639,movie,Beautiful Girls,Beautiful Girls,1996,112
115759,movie,Broken Arrow,Broken Arrow,1996,108
113403,movie,A Midwinter's Tale,In the Bleak Midwinter,1995,99
113247,movie,La haine,La haine,1995,98
113283,tvMovie,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam,1995,106
115907,movie,City Hall,City Hall,1996,111
115734,movie,Bottle Rocket,Bottle Rocket,1996,91
117102,movie,Mr. Wrong,Mr. Wrong,1996,96
118040,movie,Unforgettable,Unforgettable,1996,117
116483,movie,Happy Gilmore,Happy Gilmore,1996,92
112579,movie,The Bridges of Madison County,The Bridges of Madison County,1995,135
110251,movie,Nobody Loves Me,Keiner liebt mich,1994,104
117110,movie,Muppet Treasure Island,Muppet Treasure Island,1996,99
112646,movie,Catwalk,Catwalk,1995,95
112573,movie,Braveheart,Braveheart,1995,178
75314,movie,Taxi Driver,Taxi Driver,1976,114
113326,movie,Rumble in the Bronx,Hung fan kui,1995,104
115645,movie,Before and After,Before and After,1996,108
112373,movie,Anne Frank Remembered,Anne Frank Remembered,1995,117
115033,movie,The Young Poisoner's Handbook,The Young Poisoner's Handbook,1995,99
116606,movie,If Lucy Fell,If Lucy Fell,1996,92
114536,movie,Steal Big Steal Little,Steal Big Steal Little,1995,135
106473,tvMovie,The Boys of St. Vincent,The Boys of St. Vincent,1992,93
103859,movie,Boomerang,Boomerang,1992,117
109424,movie,Chungking Express,Chung Hing sam lam,1994,102
116324,movie,Flirting with Disaster,Flirting with Disaster,1996,92
110647,movie,The NeverEnding Story III,Die unendliche Geschichte III: Rettung aus Phantasien,1994,95
110217,movie,Jupiter's Wife,Jupiter's Wife,1995,87
114131,movie,Pie in the Sky,Pie in the Sky,1995,95
113451,movie,Jade,Jade,1995,95
116130,movie,Down Periscope,Down Periscope,1996,92
113756,movie,Man of the Year,Man of the Year,1995,86
118055,movie,Up Close & Personal,Up Close & Personal,1996,124
115685,movie,The Birdcage,The Birdcage,1996,117
112585,movie,The Brothers McMullen,The Brothers McMullen,1995,98
112442,movie,Bad Boys,Bad Boys,1995,119
112342,movie,The Amazing Panda Adventure,The Amazing Panda Adventure,1995,84
112461,movie,The Basketball Diaries,The Basketball Diaries,1995,102
112427,movie,An Awfully Big Adventure,An Awfully Big Adventure,1995,112
109093,movie,Amateur,Amateur,1994,105
112384,movie,Apollo 13,Apollo 13,1995,140
114287,movie,Rob Roy,Rob Roy,1995,139
112288,movie,The Addiction,The Addiction,1995,82
112462,movie,Batman Forever,Batman Forever,1995,121
61395,movie,Belle de Jour,Belle de jour,1967,100
112495,movie,Beyond Rangoon,Beyond Rangoon,1995,100
112541,movie,Blue in the Face,Blue in the Face,1995,83
109370,movie,Canadian Bacon,Canadian Bacon,1995,91
112642,movie,Casper,Casper,1995,100
112688,movie,Clockers,Clockers,1995,128
112715,movie,Congo,Congo,1995,109
112740,movie,Crimson Tide,Crimson Tide,1995,116
109508,movie,Crumb,Crumb,1994,119
112851,movie,Desperado,Desperado,1995,104
112857,movie,Devil in a Blue Dress,Devil in a Blue Dress,1995,102
112864,movie,Die Hard with a Vengeance,Die Hard with a Vengeance,1995,128
112887,movie,The Doom Generation,The Doom Generation,1995,83
113071,movie,First Knight,First Knight,1995,134
113114,movie,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home,1995,95
113243,movie,Hackers,Hackers,1995,105
113464,movie,Jeffrey,Jeffrey,1995,92
113481,movie,Johnny Mnemonic,Johnny Mnemonic,1995,103
113492,movie,Judge Dredd,Judge Dredd,1995,96
113500,movie,Jury Duty,Jury Duty,1995,88
113540,movie,Kids,Kids,1995,91
113677,movie,Living in Oblivion,Living in Oblivion,1995,90
113690,movie,Lord of Illusions,Lord of Illusions,1995,109
107447,movie,Love & Human Remains,Love & Human Remains,1993,100
113729,movie,Mad Love,Mad Love,1995,93
113749,movie,Mallrats,Mallrats,1995,94
113820,movie,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers: The Movie,1995,95
110604,movie,Mute Witness,Mute Witness,1995,95
110620,movie,Nadja,Nadja,1994,93
113957,movie,The Net,The Net,1995,114
113986,movie,Nine Months,Nine Months,1995,103
114095,movie,Party Girl,Party Girl,1995,94
114194,movie,The Prophecy,The Prophecy,1995,98
114241,movie,Reckless,Reckless,1995,91
114323,movie,Safe,Safe,1995,119
114345,movie,The Scarlet Letter,The Scarlet Letter,1995,135
114436,movie,Showgirls,Showgirls,1995,128
114478,movie,Smoke,Smoke,1995,112
114496,movie,Something to Talk About,Something to Talk About,1995,106
114508,movie,Species,Species,1995,108
114558,movie,Strange Days,Strange Days,1995,145
58450,movie,The Umbrellas of Cherbourg,Les parapluies de Cherbourg,1964,91
114663,movie,Three Wishes,Three Wishes,1995,115
114702,movie,Total Eclipse,Total Eclipse,1995,111
114682,movie,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo Thanks for Everything, Julie Newmar",1995,109
114781,movie,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,1995,100
114798,movie,Unstrung Heroes,Unstrung Heroes,1995,93
114805,movie,Unzipped,Unzipped,1995,73
114887,movie,A Walk in the Clouds,A Walk in the Clouds,1995,102
114898,movie,Waterworld,Waterworld,1995,135
114928,movie,White Man's Burden,White Man's Burden,1995,89
114938,movie,Wild Bill,Wild Bill,1995,98
