imdbId,director_name
417,Georges Méliès
439,Edwin S. Porter
516,Segundo de Chomón
4972,D.W. Griffith
6333,Stuart Paton
6864,D.W. Griffith
7264,Charles Chaplin
7361,J. Searle Dawley
8133,Charles Chaplin
10040,Marshall Neilan
10323,Robert Wiene
11541,Buster Keaton
11541,Edward F. Cline
12349,Charles Chaplin
13442,F.W. Murnau
14142,Wallace Worsley
14341,John G. Blystone
14341,Buster Keaton
14429,Sam Taylor
14429,Fred C. Newmeyer
14624,Charles Chaplin
14646,Yakov Protazanov
15163,Buster Keaton
15163,Donald Crisp
15324,Buster Keaton
15400,Raoul Walsh
15648,Sergei Eisenstein
15841,Sam Taylor
15841,Fred C. Newmeyer
15864,Charles Chaplin
15881,Erich von Stroheim
16641,Rex Ingram
16641,Fred Niblo
16641,Charles Brabin
16641,J.J. Cohn
16641,Christy Cabanne
16847,F.W. Murnau
16914,Georg Wilhelm Pabst
17075,Alfred Hitchcock
17136,Fritz Lang
17271,Lev Kuleshov
17416,George Fitzmaurice
17739,Paul Leni
17765,James W. Horne
17765,Buster Keaton
17925,Clyde Bruckman
17925,Buster Keaton
18037,Alan Crosland
18328,Alfred Hitchcock
18455,F.W. Murnau
18773,Charles Chaplin
19254,Carl Theodor Dreyer
19421,Buster Keaton
19421,Charles Reisner
19422,Walt Disney
19422,Ub Iwerks
19729,Harry Beaumont
19760,Dziga Vertov
19777,Robert Florey
19777,Joseph Santley
20530,Luis Buñuel
20629,Lewis Milestone
20640,Victor Heerman
20641,Clarence Brown
20697,Josef von Sternberg
20827,Robert Z. Leonard
21079,Mervyn LeRoy
21746,Wesley Ruggles
21749,Charles Chaplin
21814,Tod Browning
21814,Karl Freund
21884,James Whale
21890,Lewis Milestone
21910,George Cukor
22002,Tod Browning
22100,Fritz Lang
22111,Roy Del Ruth
22183,Carl Froelich
22183,Leontine Sagan
22286,William A. Wellman
22599,René Clair
22718,Jean Renoir
22835,Rouben Mamoulian
22879,Frank Borzage
22913,Tod Browning
22958,Edmund Goulding
23027,Norman Z. McLeod
23042,Mervyn LeRoy
23245,Karl Freund
23427,Richard Rosson
23427,Howard Hawks
23563,Fritz Lang
23622,Ernst Lubitsch
23753,Rudolf Ising
23753,Hugh Harman
23753,Norman Z. McLeod
23948,George Cukor
23969,Leo McCarey
24025,Thornton Freeland
24034,Lloyd Bacon
24069,Mervyn LeRoy
24184,James Whale
24216,Ernest B. Schoedsack
24216,Merian C. Cooper
24264,George Cukor
24601,William A. Seiter
24803,Jean Vigo
24844,Jean Vigo
24852,Charley Rogers
24852,Gus Meins
24966,Georgi Vasilyev
24966,Sergey Vasilev
25164,Mark Sandrich
25316,Frank Capra
25452,Alfred Hitchcock
25456,Robert J. Flaherty
25586,John Cromwell
25878,W.S. Van Dyke
25913,Leni Riefenstahl
25919,Howard Hawks
26029,Alfred Hitchcock
26056,George Stevens
26071,Clarence Brown
26138,James Whale
26174,Michael Curtiz
26421,Busby Berkeley
26676,W.C. Fields
26676,Clyde Bruckman
26714,William Dieterle
26714,Max Reinhardt
26752,Frank Lloyd
26778,Sam Wood
26778,Edmund Goulding
26942,William A. Seiter
27075,Robert Z. Leonard
27075,Jack Conway
27125,Mark Sandrich
27260,W.S. Van Dyke
27300,Mervyn LeRoy
27300,Michael Curtiz
27630,Mark Sandrich
27652,Fritz Lang
27664,Lewis Milestone
27698,Robert Z. Leonard
27884,Jack Conway
27893,John Cromwell
27948,John Ford
27948,Leslie Goodwins
27977,Charles Chaplin
27996,Frank Capra
28010,Gregory La Cava
28212,Alfred Hitchcock
28216,W.S. Van Dyke
28231,Alfred Hitchcock
28333,George Stevens
28346,Louis J. Gasnier
28510,Mack V. Wright
28597,Leo McCarey
28683,George Cukor
28691,Victor Fleming
